cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 16 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
6005.44 0.830547 -0.280563 0.103551 -0.205187 0.5477 0.715932 -0.381267 0 0 0 0 0 247 0.270855 0.623703 6 79 36 205.756 33366.8 55985 2.59258e+06
6005.44 0.839763 -0.288218 0.102341 -0.25999 0.648479 0.626075 -0.346282 0 0 0 0 0 14545 0.41668 0.784013 78 1251 2066 393.372 33366.8 55985 2.59258e+06
6005.44 0.404629 -0.80676 0.177665 0.766066 0.248298 -0.380735 -0.454458 0 0 0 0 0 3610 0.317269 0.89497 63 317 962 368.528 33366.8 55985 2.59258e+06
6005.44 0.670803 -0.477918 0.441952 0.704712 -0.108066 -0.686581 -0.142509 0 0 0 0 0 4499 0.38144 0.796594 11 199 327 196.155 33366.8 55985 2.59258e+06
6005.44 0.68088 -0.484508 0.442019 0.675576 -0.209379 -0.662643 -0.246296 0 0 0 0 0 8514 0.378845 0.712043 14 373 326 317.481 33366.8 55985 2.59258e+06
6005.44 0.797603 0.390001 0.102341 0.488361 -0.499622 -0.445901 0.559511 0 0 0 0 0 24820 0.475578 0.786885 62 2592 2047 366.967 33366.8 55985 2.59258e+06
6005.44 0.856581 -0.28435 0.177665 0.612733 0.522558 -0.525666 -0.274163 0 0 0 0 0 11385 0.459115 0.908824 77 548 2712 309.348 33366.8 55985 2.59258e+06
6005.44 0.280563 0.830547 0.103551 0.532372 -0.242193 -0.236644 0.775836 0 0 0 0 0 11415 0.431499 0.807074 13 375 600 203.99 33366.8 55985 2.59258e+06
6005.44 0.288218 0.839763 0.102341 0.642384 -0.274703 -0.197843 0.68756 0 0 0 0 0 34421 0.555333 0.820544 68 3345 1593 322.581 33366.8 55985 2.59258e+06
6005.44 0.813958 0.414215 0.178803 -0.354179 -0.620997 0.691087 0.106393 0 0 0 0 0 24600 0.4915 0.839559 34 273 2004 290.691 33366.8 55985 2.59258e+06
6005.44 -0.390001 0.797603 0.102341 0.69861 -0.00796278 0.0803345 0.710934 0 0 0 0 0 12596 0.403601 0.818025 84 2076 863 314.996 33366.8 55985 2.59258e+06
6005.44 0.28435 0.856581 0.177665 0.0637637 0.802772 -0.565565 0.17784 0 0 0 0 0 14564 0.557988 0.910897 49 929 1277 180.247 33366.8 55985 2.59258e+06
6005.44 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0 0 0 0 0 15428 0.501619 0.873839 33 278 1364 252.26 33366.8 55985 2.59258e+06
6005.44 -0.138856 0.824054 0.442019 0.451972 0.544026 -0.48113 0.517949 0 0 0 0 0 4483 0.36181 0.853547 57 1673 450 322.727 33366.8 55985 2.59258e+06
6005.44 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0 0 0 0 0 456 0.306597 0.830164 19 348 84 108.21 33366.8 55985 2.59258e+06
6005.44 -0.404629 0.80676 0.177665 -0.248298 0.766066 -0.454458 0.380735 0 0 0 0 0 7340 0.400451 0.886992 55 1301 598 135.23 33366.8 55985 2.59258e+06
6005.44 -0.414215 0.813958 0.178803 -0.188669 0.689553 -0.563903 0.413441 0 0 0 0 0 6476 0.332864 0.838449 43 640 588 255.541 33366.8 55985 2.59258e+06
6005.44 -0.670803 0.477918 0.441952 0.108066 0.704712 -0.142509 0.686581 0 0 0 0 0 7975 0.416177 0.859901 52 1837 254 298.136 33366.8 55985 2.59258e+06
6005.44 -0.68088 0.484508 0.442019 0.209379 0.675576 -0.246296 0.662643 0 0 0 0 0 10257 0.43945 0.83616 70 2591 203 305.508 33366.8 55985 2.59258e+06
6005.44 -0.785673 -0.388897 0.103551 0.427487 0.399164 0.62622 0.51553 0 0 0 0 0 259 0.274862 0.807079 4 167 44 107.959 33366.8 55985 2.59258e+06
6005.44 -0.856581 0.28435 0.177665 -0.522558 0.612733 -0.274163 0.525666 0 0 0 0 0 16290 0.566312 0.882955 98 531 1111 221.733 33366.8 55985 2.59258e+06
